"country","year","current_account_balance_pct_gdp","govt_gross_debt_pct_gdp","population_millions","unemployment_rate_pct","gdp_per_capita_ppp","gdp_growth_pct","inflation_avg_cpi_pct","inflation_change_pct","region","ihs_inflation","ihs_unemployment","ihs_debt","ihs_gdp_growth"
"Syrian Arab Republic",1982,-1.446,58.292,9.758,6.554,23754.71,2.583,14.274,-4.126,"MENA & Central Asia",3.35281164038488,2.57899262414834,4.75868560872825,1.6776230583611
"Tunisia",1982,-10.667,47.712,6.795,12,5114.03,-0.482,13.673,4.77,"MENA & Central Asia",3.30990484078219,3.17978543769988,4.55843992189675,-0.465054462496415
"United Arab Emirates",1982,16.202,98.518,1.17,1.9,145599.83,-7.188,7.083,-0.863,"MENA & Central Asia",2.65579105449567,1.39799836511143,5.28341220996854,-2.67036404986494
"Algeria",1983,-0.165,21.567,20.516,14.286,10738.78,5.4,7.835,1.242,"MENA & Central Asia",2.75579590971771,3.35364992364395,3.76484859422448,2.38801132228465
"Bahrain",1983,2.35,14.269,0.393,5.408,47248.85,6.994,3.2,-5.5,"MENA & Central Asia",1.87986358439691,2.38946699407421,3.3524621486951,2.64327187634173
"Egypt, Arab Rep.",1983,-3.974,34.484,44.015,7.4,5882.26,8.876,15.982,1.082,"MENA & Central Asia",3.46558759914181,2.69916160639756,4.23385279750335,2.87965644518733
"Iran, Islamic Rep.",1983,-0.28,50.01,44.077,7.025,12390.72,11.087,19.742,1.061,"MENA & Central Asia",3.6765363527346,2.64765012203304,4.60547011101808,3.10094807181469
"Jordan",1983,-7.888,91.186,2.515,13.65,11398.51,1.366,4.953,-2.661,"MENA & Central Asia",2.30317897950657,3.30822576931999,5.2060786222843,1.11805977611431
"Kuwait",1983,27.09,42.559,1.26,12.2,6116.17,5.253,9.348,-3.893,"MENA & Central Asia",2.93115829708484,3.19625857216558,4.44417652532583,2.36088575785626
"Lebanon",1983,-32.592,28.745,2.622,7.75,14406.49,22.71,7.2,-11.4,"MENA & Central Asia",2.67201622142785,2.74497660511198,4.05191344510814,3.81643692112188
"Libya",1983,-4.979,91.809,3.411,4.2,52409.68,-4.709,10.512,-3.292,"MENA & Central Asia",3.04791940253908,2.14211190823691,5.21288717116425,-2.25371085227323
"Morocco",1983,-5.62,62.24,20.944,11.675,3607.16,-0.557,6.208,-4.32,"MENA & Central Asia",2.52541062936615,3.15242607221957,4.82420959000487,-0.531604882950522
"Pakistan",1983,-1.218,45.923,87.899,3.85,2613.45,6.788,6.446,0.584,"MENA & Central Asia",2.56257009196406,2.05767519167325,4.52023178435476,2.61368560248411
"Qatar",1983,67.266,27.884,0.306,1.725,94051.68,-5.329,2.696,-3.004,"MENA & Central Asia",1.71766168810845,1.31342710231346,4.02152160940594,-2.37500012017068
"Saudi Arabia",1983,-13.045,60.515,9.748,10.1,56949.14,-16.051,0.576,-1.29,"MENA & Central Asia",0.548136435125681,3.00812438409137,4.79610670925059,-3.46988729066625
"Sudan",1983,-10.992,95.866,20.36,21.426,2895.87,-1.51,30.566,3.958,"MENA & Central Asia",4.11330293895881,3.7582964492294,5.25612576512549,-1.20029744906436
"Syrian Arab Republic",1983,-4.327,41.532,10.084,12.575,4465.8,1.605,5.987,-8.287,"MENA & Central Asia",2.48964040997269,3.22643513188521,4.41975629885004,1.25163034866912
"Tunisia",1983,-8.146,83.644,6.956,12.5,5228.74,4.674,8.972,-4.701,"MENA & Central Asia",2.89034714221045,3.22047199846445,5.11975260914693,2.2464144308366
"United Arab Emirates",1983,13.284,9.918,1.21,2,133395.92,-5.25,1.297,-5.786,"MENA & Central Asia",1.07662059981886,1.44363547517881,2.99003034394761,-2.36032457624344
"Algeria",1984,0.133,99.634,21.175,16.536,10987.23,5.6,6.31,-1.525,"MENA & Central Asia",2.54150339971852,3.49960003132883,5.29467583541871,2.42379204358752
"Bahrain",1984,4.816,27.711,0.406,4.576,47622.14,4.186,0,-3.2,"MENA & Central Asia",0,2.22570312644196,4.01530203139359,2.13886409584115
"Egypt, Arab Rep.",1984,-8.101,73.203,45.237,4.4,6182.44,8.021,17.06,1.078,"MENA & Central Asia",3.53074159579712,2.18742176068697,4.98643023431668,2.77907364978202
"Iran, Islamic Rep.",1984,-0.592,96.007,45.798,11.65,11073.67,-7.14,12.578,-7.164,"MENA & Central Asia",3.22667292150724,3.15029028566651,5.25759540771332,-2.66372819469891
"Jordan",1984,-5.291,65.504,2.63,5.361,11496.53,5.478,4.045,-0.908,"MENA & Central Asia",2.10556926204564,2.38088493315568,4.87531664949334,2.40211600717227
"Kuwait",1984,32.275,5.931,25.212,1.634,69140.57,5.24,2.121,-7.227,"MENA & Central Asia",1.4964748196713,1.26686673321061,2.48037238940782,2.35845173346293
"Lebanon",1984,-27.149,101.816,2.638,8.608,20688.28,44.479,17.6,10.4,"MENA & Central Asia",3.5618521837404,2.84919616134462,5.31633855852569,4.48829069021396
"Libya",1984,-4.751,79.331,3.558,21.305,46065.24,-8.306,12.439,1.927,"MENA & Central Asia",3.21559570796562,3.75263929147258,5.06681587510701,-2.81372951843428
"Morocco",1984,-5.474,108.157,21.441,13.623,3676.44,4.337,12.448,6.24,"MENA & Central Asia",3.21631665289843,3.30625109094695,5.37675242638877,2.173363735813
"Pakistan",1984,-2.213,44.556,90.354,3.75,2643.47,3.973,6.056,-0.39,"MENA & Central Asia",2.50094464207402,2.03222462153381,4.49001991130251,2.08814319866115
"Qatar",1984,98.829,0,0.326,2,102271.03,15.988,1.142,-1.554,"MENA & Central Asia",0.978306309876613,1.44363547517881,0,3.46596221870174
"Saudi Arabia",1984,-15.381,26.285,10.235,8.042,51706.78,-4.661,-0.676,-1.252,"MENA & Central Asia",-0.632894188015378,2.78166832099205,3.96250726481493,-2.24369101608542
"Sudan",1984,-9.588,26.903,21.311,20.66,2610.92,-5.629,33.659,3.093,"MENA & Central Asia",4.20964825412441,3.72193183594079,3.98573021921087,-2.42887722198409
"Syrian Arab Republic",1984,-4.157,69.472,10.419,18.78,2785.86,-6.498,9.453,3.466,"MENA & Central Asia",2.94226536090212,3.62664774284697,4.93412276911585,-2.57051051801309
"Tunisia",1984,-11.612,40.425,7.037,13.733,5464.93,5.731,8.596,-0.375999999999999,"MENA & Central Asia",2.84781046878475,3.31427183790835,4.39274853279502,2.4465634080936
"United Arab Emirates",1984,19.019,30.271,1.31,1.8,128696.63,4.451,2.433,1.136,"MENA & Central Asia",1.62205639530942,1.35044074027497,4.10361005392368,2.19866259250501
"Algeria",1985,1.529,71.054,22.2,16.901,11066.82,5.6,10.432,4.122,"MENA & Central Asia",3.04031454197195,3.521394041474,4.95663684620502,2.42379204358752
"Egypt, Arab Rep.",1985,-4.568,59.555,46.545,7.244,6454.87,7.425,12.108,-4.952,"MENA & Central Asia",3.18871450419593,2.67805115599679,4.78011791455274,2.70250401204612
"Iran, Islamic Rep.",1985,-0.519,6.725,47.587,5.153,10856.4,1.868,4.378,-8.2,"MENA & Central Asia",2.18253447001927,2.34201098885279,2.60446166511955,1.38299544820511
"Jordan",1985,-5.176,89.288,2.751,5.976,10869.15,-1.088,2.808,-1.237,"MENA & Central Asia",1.75591618864848,2.48782657937237,5.18504563783287,-0.94225069342898
"Kuwait",1985,23.135,55.787,34.263,9.543,3919.56,-4.258,2.985,0.864,"MENA & Central Asia",1.81369233972512,2.95168902227105,4.71476836751857,-2.15545885295445
"Lebanon",1985,-13.77,19.126,2.652,5.086,25580.37,24.3,69.4,51.8,"MENA & Central Asia",4.93308595045071,2.3291663494186,3.6448785732708,3.88404663948197
"Libya",1985,6.274,11.77,3.539,6.05,46602.44,0.607,9.111,-3.328,"MENA & Central Asia",2.90562781405805,2.49996665447642,3.16050086179206,0.574818073441148
"Morocco",1985,-7.747,30.661,21.951,6.349,3818.19,6.324,7.729,-4.719,"MENA & Central Asia",2.742285619335,2.54758955226685,4.11640449326969,2.54369238437253
"Pakistan",1985,-1.675,28.796,92.828,3.65,2797.07,8.708,5.564,-0.492,"MENA & Central Asia",2.41744378678003,2.00613238996549,4.05368502483316,2.86067001844244
"Qatar",1985,73.191,0,0.345,5.746,84207.49,-13.031,1.129,-0.0129999999999999,"MENA & Central Asia",0.96971444962552,2.44913852596144,0,-3.26194733401593
"Sudan",1985,-14.866,83.644,21.908,19.923,2523.97,-0.623,45.625,11.966,"MENA & Central Asia",4.51372306841251,3.6856512700052,5.11975260914693,-0.588446927057055
"Syrian Arab Republic",1985,-4.056,48.97,10.776,13.048,10218.26,7.296,16.818,7.365,"MENA & Central Asia",3.51647962835256,3.26324724813867,4.58445928087262,2.68513714644575
"Tunisia",1985,-6.367,49.977,7.269,8.332,5590.24,5.668,7.551,-1.045,"MENA & Central Asia",2.7191832369356,2.81683255800156,4.60481015719486,2.43567601174512
"United Arab Emirates",1985,17.949,52.159,1.38,4.45,119087.76,-2.522,3.5,1.067,"MENA & Central Asia",1.96572047164965,2.19844336462344,4.6475358063539,-1.65537089286581
"Algeria",1986,-3.338,39.383,22.8,18.356,10754.03,-0.2,14.007,3.575,"MENA & Central Asia",3.3339761922255,3.60384481852103,4.36664257689654,-0.198690110349241
"Egypt, Arab Rep.",1986,-2.759,36.838,47.751,3.142,6591.29,4.759,23.9,11.792,"MENA & Central Asia",3.86746301985519,1.86241929009911,4.29986127549654,2.2640447914791
"Iran, Islamic Rep.",1986,-2.713,42.059,49.445,13.8,9426.08,-9.785,23.722,19.344,"MENA & Central Asia",3.85999403260597,3.31912594469396,4.43236187106128,-2.97659868282082
"Jordan",1986,-0.617,67.865,2.88,8.037,11001.13,5.934,0,-2.808,"MENA & Central Asia",0,2.78105114782437,4.91072189494849,2.4808710437844
"Kuwait",1986,31.669,70.691,125.711,3.125,91006.82,8.565,4.519,1.534,"MENA & Central Asia",2.21346111709668,1.85725084673841,4.95151547100213,2.84422191023917
"Lebanon",1986,-7.555,31.378,2.661,12.859,23768.16,-6.773,95.4,26,"MENA & Central Asia",5.25125322690836,3.24869962739394,4.13950800997839,-2.61149704882442
"Libya",1986,-0.67,141.4,3.676,6.7,39765.46,-11.353,3.38,-5.731,"MENA & Central Asia",1.93222062171507,2.60077792005721,5.64475243756405,-3.12456321698725
"Morocco",1986,-5.761,102.607,22.469,8.3,4039.66,8.3,8.734,1.005,"MENA & Central Asia",2.86363192175134,2.8130120727167,5.32407708200195,2.8130120727167
"Oman",1986,-10.887,45.46,1.809,2.947,26233.11,2.145,7.644,11.615,"MENA & Central Asia",2.73131957597938,1.80155179697721,4.51010094800451,1.50666260205352
"Pakistan",1986,-1.145,10.066,95.341,3.3,2896.63,6.363,3.467,-2.097,"MENA & Central Asia",1.95661493966057,1.90927401401634,3.00476883097789,2.54976543086332
"Qatar",1986,39.348,18.983,0.362,5,83146.68,3.706,1.897,0.768,"MENA & Central Asia",1.3966002613961,2.31243834127275,3.63738406320996,2.02082492857052
"Sudan",1986,-18.352,53.406,22.521,19.211,2699.11,9.933,59.996,14.371,"MENA & Central Asia",4.78749452036308,3.64930691695272,4.67115791985447,2.99153399085469
"Syrian Arab Republic",1986,-1.982,5.034,11.133,14.418,7789.67,-4.757,36.187,19.369,"MENA & Central Asia",4.28203797693601,3.3628250671405,2.31908458348998,-2.26363343394472
"Tunisia",1986,-7.125,144.706,7.552,25.3,5302.78,-1.453,6.159,-1.392,"MENA & Central Asia",2.51758791161239,3.92434191775042,5.66786321719606,-1.16840633656524
"United Arab Emirates",1986,7.791,30.749,1.44,3.993,92135.43,-19.269,5.435,1.935,"MENA & Central Asia",2.39436455917416,2.09301339825034,4.11926895923596,-3.65231740869702
"Algeria",1987,0.206,13.374,23.4,20.056,10404.94,-0.7,5.857,-8.15,"MENA & Central Asia",2.46799399261065,3.69229647743953,3.28785449382738,-0.652666566082356
"Bahrain",1987,-5.552,41.317,0.45,7.7,42219.68,-1.222,-1.7,0.8,"MENA & Central Asia",-1.30082042684065,2.73855765013714,4.41456763361376,-1.02998135744219
"Egypt, Arab Rep.",1987,-1.299,205.371,48.8,9.85,6725.17,4.273,25.185,1.285,"MENA & Central Asia",3.91978967200553,2.983185455039,6.01797120747414,2.15888261330844
"Iran, Islamic Rep.",1987,-0.974,53.866,50.662,12.327,9183.81,-0.172,27.708,3.986,"MENA & Central Asia",4.01519383570919,3.20658033844695,4.67973281149634,-0.171163020683482
"Jordan",1987,-5.179,92.624,3.015,8.391,10793.62,2.71,-0.21,-0.21,"MENA & Central Asia",-0.208486350074129,2.82383880864718,5.22172460685086,1.72251935027844
"Kuwait",1987,19.647,32.518,1.494,7.625,54978.5,8.142,3.564,-0.955,"MENA & Central Asia",1.98315559309986,2.72885195052373,4.17517730336505,2.79393305969655
"Libya",1987,-4.532,48.387,3.834,4.025,32527.56,-14.702,4.423,1.043,"MENA & Central Asia",2.19250641871356,2.10075817185656,4.57248512426967,-3.38228532864138
"Morocco",1987,-6.485,86.595,23.002,2.5,3845.7,-2.544,2.699,-6.035,"MENA & Central Asia",1.71870448028263,1.6472311463711,5.15442259521251,-1.66344951134268
"Oman",1987,7.988,200.215,1.922,7,23704.31,-3.992,2.561,-5.083,"MENA & Central Asia",1.66965074561543,2.64412076105863,5.99254520623504,-2.09277043388726
"Pakistan",1987,-1.818,21.528,97.874,3.071,2985.64,5.811,4.692,1.225,"MENA & Central Asia",2.25017337889718,1.84066267721126,3.76304058498359,2.46022248248976
"Qatar",1987,46.116,20.66,0.377,5.2,80493.85,0.9,4.491,2.594,"MENA & Central Asia",2.20739347168858,2.35092571975091,3.72193183594079,0.808866935652782
"Sudan",1987,-13.381,84.304,23.152,18.525,2795.26,6.462,26.512,-33.484,"MENA & Central Asia",3.97110012801653,3.61299604694966,5.12761166794371,2.5650199432349
"Syrian Arab Republic",1987,-0.917,57.737,11.511,5.5,36168.38,1.251,71.429,35.242,"MENA & Central Asia",4.96190012571981,2.40605912529802,4.74912038283519,1.04821755536586
"Tunisia",1987,-0.922,41.207,7.713,8.603,5539.64,6.701,8.224,2.065,"MENA & Central Asia",2.8038799175431,2.84861902121686,4.4119025234683,2.60092552784425
"United Arab Emirates",1987,11.094,55.662,1.5,2.1,93141.29,5.304,5.498,0.0630000000000006,"MENA & Central Asia",2.40570129143941,1.48748283664127,4.71252554919224,2.37037880913379
"Algeria",1988,-3.389,58.683,24.1,21.801,9910.77,-1.9,5.938,0.0809999999999995,"MENA & Central Asia",2.48153553509457,3.7756286080679,4.7653698458197,-1.39799836511143
"Bahrain",1988,4.285,21.363,0.467,4.906,43179.68,5.952,0.2,1.9,"MENA & Central Asia",0.198690110349241,2.2938348074782,3.75535497646236,2.48385783169481
"Egypt, Arab Rep.",1988,-2.146,74.683,49.8,11.1,6853.32,3.994,15.185,-10,"MENA & Central Asia",3.41453772258063,3.10211519705688,5.0064444893549,2.09325630536368
"Iran, Islamic Rep.",1988,-0.68,84.182,51.909,15.4,8418.05,-6.082,28.9,1.192,"MENA & Central Asia",4.05728796729168,3.42856716771906,5.12616357816891,-2.50517171704569
"Jordan",1988,-4.615,183.823,3.157,8.805,10604.49,2.891,6.705,6.915,"MENA & Central Asia",2.60151574359177,2.87167607626172,5.90712791703059,1.78340220775679
"Kuwait",1988,24.616,16.41,0.616,5.125,67443.25,-10.05,1.71,-1.854,"MENA & Central Asia",1.30587957590277,2.33666276137023,3.49196516924393,-3.00318586172399
"Libya",1988,-7.057,77.078,4.325,9.634,31016.38,7.579,3.131,-1.292,"MENA & Central Asia",1.85907791041119,2.96112843098911,5.03800715437536,2.7228525773233
"Morocco",1988,0.37,19.267,23.528,17.238,4151.34,10.415,2.369,-0.33,"MENA & Central Asia",1.59744878073093,3.54110369978114,3.6522137491646,3.03869106557028
"Oman",1988,-3.194,7.17,1.922,8.983,24947.62,5.245,1.589,-0.972,"MENA & Central Asia",1.24313889006413,2.89156489635739,2.66788071214958,2.35938858553773
"Pakistan",1988,-2.202,47.587,100.435,3.142,3096.74,6.436,8.835,4.143,"MENA & Central Asia",2.8750557867202,1.86241929009911,4.55581717552167,2.56103591767081
"Qatar",1988,38.548,60.841,0.392,3.025,80993.54,4.7,4.822,0.331,"MENA & Central Asia",2.27691849416098,1.8263226463346,4.80147861539387,2.2518395970316
"Saudi Arabia",1988,-8.317,35.02,12.443,5.625,47410.6,13.109,-0.35,2.044,"MENA & Central Asia",-0.343221555085944,2.42817732984585,4.24927029371076,3.2678978252953
"Sudan",1988,-19.274,82.748,23.6,17.863,2859.88,4.292,62.864,36.352,"MENA & Central Asia",4.8341840983642,3.57666128180013,5.10898353444801,2.16320305516267
"Syrian Arab Republic",1988,-0.792,24.693,11.899,6.287,11662.99,12.721,30,-41.429,"MENA & Central Asia",4.09462222433053,2.53789690485428,3.90007673925539,3.23794267373985
"Tunisia",1988,0.873,70.032,7.845,31.1,5450.83,0.071,7.156,-1.068,"MENA & Central Asia",2.66594499566836,4.130613374997,4.94215043090434,0.0709404830792237
"United Arab Emirates",1988,7.416,23.199,1.79,3.67,76003.85,-2.623,4.995,-0.503,"MENA & Central Asia",2.31145728886768,2.01140366906056,3.8377205483818,-1.69196800030696
"Algeria",1989,-1.811,5.938,24.7,18.1,10134.18,4.8,9.172,3.234,"MENA & Central Asia",2.91226113300673,3.58982134929134,2.48153553509457,2.2724413273866
"Bahrain",1989,-4.131,27.636,0.484,8.4,42099.8,1.013,1.2,1,"MENA & Central Asia",1.01597313417969,2.82490328703885,4.01259362346989,0.890536164953458
"Egypt, Arab Rep.",1989,-2.173,0,50.9,5.74,6905.87,2.993,20.129,4.944,"MENA & Central Asia",3.69592518643883,2.4481092626175,0,1.81623053751839
"Iran, Islamic Rep.",1989,-0.783,56.6,53.187,19.2,8719.58,6.132,17.401,-11.499,"MENA & Central Asia",3.55049947739215,3.6487349391657,4.72923419481825,2.51325148133912
"Jordan",1989,8.995,219.071,3.311,10.282,9033.88,-10.661,25.668,18.963,"MENA & Central Asia",3.93877149587002,3.02589837764161,6.08254826789757,-3.06193178350627
"Kuwait",1989,39.572,11.858,24.126,1.9,4144.95,25.896,4.217,2.507,"MENA & Central Asia",2.14604193452696,1.39799836511143,3.16792314295079,3.9476082877996
"Lebanon",1989,-22.499,260.667,2.726,15.73,11236.64,-42.195,72.2,-82.8,"MENA & Central Asia",4.97263518151153,3.44972574470691,6.25639459051128,-4.43558929806595
"Libya",1989,-3.737,75.492,4.522,12.3,31803.75,7.199,4.464,1.333,"MENA & Central Asia",2.20150829580962,3.20439481754902,5.01721773507101,2.67187864368317
"Morocco",1989,-3.477,62.841,24.075,5.5,4153.04,2.366,3.138,0.769,"MENA & Central Asia",1.86120547335849,2.40605912529802,4.83381820854695,1.59628147926054
"Oman",1989,3.251,28.326,2.035,5.6,24264.59,2.983,1.564,-0.0249999999999999,"MENA & Central Asia",1.22974766321949,2.42379204358752,4.03723872578249,1.81305683456764
"Pakistan",1989,-2.295,57.471,103.017,3.141,3164.31,4.808,7.882,-0.953000000000001,"MENA & Central Asia",2.76172886940246,1.86211596750331,4.7445033354152,2.27407165964019
"Qatar",1989,52.476,30.061,0.408,4.817,82087.96,5.3,3.3,-1.522,"MENA & Central Asia",1.90927401401634,2.27590267823136,4.09665236798176,2.36963744780851
