"country","year","current_account_balance_pct_gdp","govt_gross_debt_pct_gdp","population_millions","unemployment_rate_pct","gdp_per_capita_ppp","gdp_growth_pct","inflation_avg_cpi_pct","inflation_change_pct","region","ihs_inflation","ihs_unemployment","ihs_debt","ihs_gdp_growth"
"Barbados",1982,-3.554,69.008,0.254,13.65,12393.05,-4.9,10.287,-4.302,"Latin America & Caribbean",3.02638226411177,3.30822576931999,4.92742211413467,-2.29263575204241
"Belize",1982,-7.504,46.555,0.153,17.863,3520.45,-7.551,6.839,-4.385,"Latin America & Caribbean",2.62109143701468,3.57666128180013,4.53389691722509,-2.7191832369356
"Chile",1982,-8.989,79.979,11.545,19.814,7591.1,-13.588,9.941,-9.746,"Latin America & Caribbean",2.99233501699164,3.68017212092262,5.07495036149954,-3.3036855210126
"Colombia",1982,-5.318,21.62,28.875,7.1,7104.12,0.948,24.86,-2.533,"Latin America & Caribbean",3.90681153932577,2.65816480695414,3.76730041003903,0.844121973911045
"Costa Rica",1982,-9.164,38.958,2.443,9.405,8798.19,-7.285,90.271,53.465,"Latin America & Caribbean",5.19599411543704,2.93720306283939,4.35579600276994,-2.68364232968651
"Dominica",1982,-3.754,43.714,0.074,9.5,5304.41,4.128,4.415,-8.852,"Latin America & Caribbean",2.19074070042246,2.94719762257003,4.4709463992826,2.12529851786499
"Dominican Republic",1982,-4.842,24.575,5.916,16.247,6275.55,1.7,7.643,0.12,"Latin America & Caribbean",2.73118985136849,3.48200120947482,3.89529054462278,1.30082042684065
"Ecuador",1982,-7.175,39.41,8.495,15,7710.35,1.2,16.258,-0.129000000000001,"Latin America & Caribbean",3.48267675092108,3.40230664548059,4.36732769631765,1.01597313417969
"El Salvador",1982,-1.493,59.275,4.942,7.534,4918.76,-6.306,11.703,-3.115,"Latin America & Caribbean",3.15481276976941,2.71694889351747,4.77540595851924,-2.54087710528338
"Grenada",1982,2.413,54.187,0.093,4.7,6118.28,4.107,7.813,-10.974,"Latin America & Caribbean",2.75300673649831,2.2518395970316,4.68567334013158,2.12034239753205
"Guatemala",1982,-4.674,70.317,7.582,13.1,6124.62,-3.542,4.898,-6.502,"Latin America & Caribbean",2.29223575364538,3.26721302923313,4.94621132850568,-1.97719520482365
"Guyana",1982,-26.108,349.877,0.765,7.9,6008.3,-8.884,20.607,-1.628,"Latin America & Caribbean",3.71936620752075,2.76399185110002,6.55073088695171,-2.88055168747844
"Haiti",1982,-2.459,198.807,6.163,5.1,3973.79,-2.797,7.359,-3.499,"Latin America & Caribbean",2.69365598100077,2.33186371852127,5.9854880106051,-1.75221941224127
"Honduras",1982,-5.206,33.356,3.908,6.667,3699.53,-2.075,9.023,-0.383000000000001,"Latin America & Caribbean",2.89598071045648,2.59589473475839,4.20060946540301,-1.47668204406489
"Jamaica",1982,-16.661,77.856,2.186,27.577,8273.22,3.08,6.83,-2.342,"Latin America & Caribbean",2.61978846201033,4.01045784557173,5.04804938814023,1.8434456175213
"Mexico",1982,-0.791,35.784,71.37,4.2,17293.15,-0.05,59.115,31.081,"Latin America & Caribbean",4.77270341148865,2.14211190823691,4.27084322658967,-0.0499791900693487
"Nicaragua",1982,-20.58,50.176,3.017,12.4,2965.99,-0.817,28.5,4.7,"Latin America & Caribbean",4.04335891284379,3.21246561256992,4.60878329020026,-0.745888053150892
"Panama",1982,-3.649,45.217,2.078,10.981,12867.69,5.348,4.251,-3.049,"Latin America & Caribbean",2.15385718426719,3.0913805407659,4.50474255513752,2.37849833187392
"Paraguay",1982,-6.852,43.174,3.342,28.105,8497.61,-1.398,5.374,-8.419,"Latin America & Caribbean",2.38326594825436,4.0294110262169,4.45851973638171,-1.13681901982768
"Peru",1982,-9.142,10.659,18.43,6.4,7442.16,-0.324,64.46,-10.973,"Latin America & Caribbean",4.85925221866313,2.55549355317483,3.06174498635762,-0.318583458255305
"St. Kitts and Nevis",1982,1.172,49.842,0.043,6.668,7904.35,6.112,5.975,-2.584,"Latin America & Caribbean",2.48766152466313,2.59604305707925,4.60210580246558,2.51002730249963
"St. Lucia",1982,-2.95,45.942,0.127,8.036,6130.84,2.114,4.614,-10.511,"Latin America & Caribbean",2.23378388073147,2.78092766781918,4.52064533682986,1.49348560418299
"St. Vincent and the Grenadines",1982,-2.64,140.59,0.1,17.4,5037.84,2.578,7.228,-10.222,"Latin America & Caribbean",2.67586080619354,3.55044210244882,5.63900768168235,1.67581636426855
"Suriname",1982,-3.839,25.073,1.244,13.777,22388.77,-6.3,7.119,-1.559,"Latin America & Caribbean",2.66081123820373,3.31746225715895,3.9153361876933,-2.53993693665066
"Trinidad and Tobago",1982,-7.239,87.87,1.12,6.808,16110.95,3.799,11.635,-2.697,"Latin America & Caribbean",3.14900662878183,2.6165963222524,5.16903800714663,2.04477368024621
"Uruguay",1982,4.704,81.689,2.978,7.7,11132.51,-9.391,18.991,-15.055,"Latin America & Caribbean",3.63780482097247,2.73855765013714,5.09610399622149,-2.93572174616243
"Venezuela, RB",1982,-4.848,13.223,15.868,2.978,19272.8,2.645,9.607,-6.637,"Latin America & Caribbean",2.95833696195753,1.81146639442161,3.27653167682275,1.69977654547658
"Antigua and Barbuda",1983,0.821,19.671,0.066,3.375,9085.13,5.364,2.346,-1.824,"Latin America & Caribbean",1.58846724096608,1.93080114648937,3.67293810651717,2.38143489305713
"Argentina",1983,-2.095,58.211,29.34,5,16504.37,3.733,1.112,-2.188,"Latin America & Caribbean",0.958394953129592,2.31243834127275,4.75729529122273,2.02783506173482
"Bahamas, The",1983,-1.153,77.44,0.225,2.708,34810.53,6.8,4,-2.101,"Latin America & Caribbean",2.0947125472611,1.7218267521241,5.04269230875466,2.61543304000393
"Barbados",1983,-4.152,130.255,0.255,14.945,12421.88,0.5,5.275,-5.012,"Latin America & Caribbean",2.36499166347484,3.39864140598755,5.56265598288293,0.481211825059603
"Belize",1983,-5.072,43.829,0.157,13.7,3632.32,6.076,4.996,-1.843,"Latin America & Caribbean",2.31165357486335,3.31187234356339,4.47357299573183,2.50419780188174
"Chile",1983,-5.365,35.067,11.731,20.999,7261.66,-2.802,27.257,17.316,"Latin America & Caribbean",3.9987938787892,3.73818846398215,4.2506109384132,-1.75390136092469
"Colombia",1983,-5.241,46.476,29.498,8.694,7063.41,1.574,19.526,-5.334,"Latin America & Caribbean",3.66554915982697,2.85907153003058,4.53219895053757,1.23512233628748
"Costa Rica",1983,-8.951,113.289,2.514,9.231,8793.06,2.859,32.503,-57.768,"Latin America & Caribbean",4.17471613207298,2.91863561869916,5.42310873483708,1.77288946661349
"Dominica",1983,2.473,8.287,0.073,7.219,5459.65,2.556,4.228,-0.187,"Latin America & Caribbean",2.1485769080824,2.67462664275994,2.81145585165329,1.66783056729485
"Dominican Republic",1983,-4.417,38.994,6.056,9.2,6413.9,4.628,5.629,-2.014,"Latin America & Caribbean",2.42887722198409,2.91529134965747,4.35671934430069,2.23674498837795
"Ecuador",1983,-0.794,11.841,8.733,10.05,7290.61,-2.8,48.434,32.176,"Latin America & Caribbean",4.57345578103806,3.00318586172399,3.16649356469145,-1.75322890111027
"El Salvador",1983,1.853,36.189,4.971,26.8,4964.7,1.535,13.121,1.418,"Latin America & Caribbean",3.2688101599599,3.9818969595524,4.28209322278627,1.21402222123796
"Grenada",1983,8.449,8.204,0.096,6.557,6129.81,3.295,6.095,-1.718,"Latin America & Caribbean",2.50727866120247,2.57944502187151,2.80146289508631,1.90782297002779
"Guatemala",1983,-2.526,42.688,7.776,2.3,5821.14,-2.528,6.719,1.821,"Latin America & Caribbean",2.60357878961302,1.57027854348498,4.44720219450468,-1.65758017905282
"Guyana",1983,-25.722,24.651,0.763,15.724,5333.23,-11.497,15.288,-5.319,"Latin America & Caribbean",3.42128331788831,3.44934500409509,3.89837580081431,-3.13711931481762
"Haiti",1983,-2.182,88.818,6.274,8.415,3845.07,-1.5,10.244,2.885,"Latin America & Caribbean",3.02221320472019,2.8266749211186,5.1797682023652,-1.19476321728711
"Honduras",1983,-4.91,11.907,4.029,6.504,3620.77,0.906,8.213,-0.81,"Latin America & Caribbean",2.80255127289713,2.57142272408488,3.1720323341083,0.813320052931445
"Jamaica",1983,-10.405,80.948,2.23,26.378,8447.72,4.153,16.657,9.827,"Latin America & Caribbean",3.50687755857373,3.96603661569953,5.08699230450438,2.13116770210088
"Nicaragua",1983,-17.499,51.338,58.025,11,3430.96,4.615,33.6,5.1,"Latin America & Caribbean",4.20789461675371,3.09310219505083,4.6316732411835,2.23399567285235
"Panama",1983,3.639,9.918,2.127,11.573,12008.91,-4.491,2.103,-2.148,"Latin America & Caribbean",1.488771886906,3.14368336120348,2.99003034394761,-2.20739347168858
"Paraguay",1983,-4.085,44.859,3.442,8.3,7999.49,-3.043,12.807,7.433,"Latin America & Caribbean",3.24465981527436,2.8130120727167,4.49679562878912,-1.83195725373453
"St. Kitts and Nevis",1983,-2.906,42.216,0.043,8.228,7776.74,-2.058,2.23,-3.745,"Latin America & Caribbean",1.54200490615689,2.80436262690554,4.4360867239549,-1.46927700019751
"St. Lucia",1983,-1.944,74.738,0.129,28,6297.25,4.059,1.473,-3.141,"Latin America & Caribbean",1.17969238897696,4.02567041586982,5.0071805984198,2.10892370559938
"St. Vincent and the Grenadines",1983,0.249,15.078,0.101,10.393,5160.56,3.218,5.458,-1.77,"Latin America & Caribbean",2.39851803284168,3.03658619400843,3.40748174400816,1.8852188220831
"Suriname",1983,-12.167,65.492,0.041,2.9,34851.2,-5.1,4.374,-2.745,"Latin America & Caribbean",2.18164336432811,1.7863401998169,4.87513345914138,-2.33186371852127
"Trinidad and Tobago",1983,-11.986,46.532,1.138,3.06,14222.24,-10.3,15.175,3.54,"Latin America & Caribbean",3.4138803857962,1.83725127472499,4.53340286985634,-3.02763927935327
"Uruguay",1983,1.536,86.318,2.997,14.5,10413.89,-5.853,49.198,30.207,"Latin America & Caribbean",4.5891034236958,3.36848277541722,5.15121888340817,-2.46732056733912
"Venezuela, RB",1983,6.028,34.598,16.316,9.435,16896.36,-9.856,6.242,-3.365,"Latin America & Caribbean",2.53080335032951,2.94036998427973,4.23715184378909,-2.98379129438166
"Antigua and Barbuda",1984,1.814,73.601,0.065,7.783,10172.58,10.165,3.844,1.498,"Latin America & Caribbean",2.05616569936597,2.74919083989098,4.99185194005737,3.0145083914621
"Argentina",1984,-1.911,94.607,29.84,5,16552.43,2,0.674,-0.438,"Latin America & Caribbean",0.631236490678799,2.31243834127275,5.24290657993073,1.44363547517881
"Bahamas, The",1984,-1.33,6.994,0.23,5.417,34867.69,2.4,3.966,-0.0339999999999998,"Latin America & Caribbean",2.08643317978107,2.39110213806643,2.64327187634173,1.6094379124341
"Barbados",1984,0.827,97.781,0.255,17.037,12835.03,3.6,4.648,-0.627000000000001,"Latin America & Caribbean",2.24096033000731,3.52939481813613,5.27590361122643,1.99283576493974
"Belize",1984,-1.943,20.521,0.162,3.108,3936.41,11.332,3.383,-1.613,"Latin America & Caribbean",1.93307138037126,1.85205683557136,3.71518907173513,3.12271892664004
"Chile",1984,-10.427,46.508,11.917,17.515,7569.29,5.886,19.86,-7.397,"Latin America & Caribbean",3.68248808012954,3.55701877175676,4.53288708186302,2.47286300190039
"Colombia",1984,-3.921,22.04,30.124,8.986,7148.4,3.351,16.283,-3.243,"Latin America & Caribbean",3.48421038050518,2.89189675549791,3.78652042374146,1.92396064759222
"Costa Rica",1984,-4.242,41.798,2.588,5.361,9229.79,8.028,12.013,-20.49,"Latin America & Caribbean",3.1808644486071,2.38088493315568,4.42613873784885,2.77993928269962
"Dominica",1984,3.973,15.654,0.073,2.88,5709.3,4.197,2.13,-2.098,"Latin America & Caribbean",1.50030625832859,1.77980021523709,3.44489230769974,2.14141681170082
"Dominican Republic",1984,-1.099,18.686,6.202,30.9,6341.69,1.253,20.152,14.523,"Latin America & Caribbean",3.69706575914119,4.12416509388627,3.62163698378647,1.04946572741978
"Ecuador",1984,-1.772,73.431,8.971,12.003,7394.74,4.2,31.23,-17.204,"Latin America & Caribbean",4.13478258134981,3.18003454321726,4.98953973114289,2.14211190823691
"El Salvador",1984,-1.712,27.007,5.002,16.375,5000.12,1.337,11.705,-1.416,"Latin America & Caribbean",3.15498303118338,3.48983400747078,3.98958585391025,1.10081035430033
"Grenada",1984,-2.527,46.084,0.098,6.6,6214.02,3.963,5.66,-0.435,"Latin America & Caribbean",2.43428509408316,2.58590725287313,4.52373069508724,2.08569944565151
"Guatemala",1984,-4.069,25.916,7.975,12.003,5704.67,0.51,3.208,-3.511,"Latin America & Caribbean",1.88224707087984,3.18003454321726,3.94837973523161,0.490138161436235
"Guyana",1984,-17.769,35.445,0.759,11.9,5473.24,2.134,25.139,9.851,"Latin America & Caribbean",3.91796295997707,3.17144633596124,4.26132830994598,1.50200486446492
"Haiti",1984,-1.878,58.654,6.387,9.4,3784.63,0.201,6.402,-3.842,"Latin America & Caribbean",2.55580225985179,2.93667427161666,4.76487561486387,0.19967059659938
"Honduras",1984,-5.554,32.863,4.154,6.349,3734.09,6.327,4.726,-3.487,"Latin America & Caribbean",2.25723612709671,2.54758955226685,4.18572599153396,2.54416083740154
"Jamaica",1984,-11.564,7.894,2.235,25.512,8508.78,0.95,31.255,14.598,"Latin America & Caribbean",4.1355823638581,3.93267999506636,2.76323808822257,0.845572697039727
"Mexico",1984,5.177,17.963,74.707,5.6,16310.18,3.513,65.439,-36.366,"Latin America & Caribbean",4.87432396680318,2.42379204358752,3.58223515535131,1.96928572776277
"Panama",1984,-3.549,33.515,2.176,12.216,12056.86,2.709,1.583,-0.52,"Latin America & Caribbean",1.23993878427294,3.19756481334369,4.2053627735067,1.72217310745263
"Paraguay",1984,-6.436,60.076,3.545,7.3,7985.64,2.817,20.938,8.131,"Latin America & Caribbean",3.73528263896439,2.68568016777615,4.78882686955934,1.75893127755696
"St. Kitts and Nevis",1984,14.398,47.749,0.042,7,8571.7,9.651,2.727,0.497,"Latin America & Caribbean",1.72838833116228,2.64412076105863,4.5592149375383,2.96288205458067
"St. Lucia",1984,-55.91,114.337,0.131,45.741,6707.23,8.01,2.049,0.576,"Latin America & Caribbean",1.46533661911779,4.51626169941943,5.4323165314237,2.77771186539977
"St. Vincent and the Grenadines",1984,-4.61,10.6,0.102,7.092,5394.51,5.303,2.702,-2.756,"Latin America & Caribbean",1.71974625377591,2.65704844196601,3.05621878340352,2.37019351943026
"Suriname",1984,-8.484,55.903,28.608,18.3,1795.98,-3,3.688,-0.685999999999999,"Latin America & Caribbean",2.01612500711903,3.60079391964775,4.71684521322423,-1.81844645923207
"Trinidad and Tobago",1984,-5.914,36.036,1.155,7.3,13206.92,-5.751,13.335,-1.84,"Latin America & Caribbean",3.28494228110015,2.68568016777615,4.27785807978932,-2.4499954488668
"Uruguay",1984,-2.436,45.731,3.016,14,10196.87,-1.458,55.305,6.107,"Latin America & Caribbean",4.70609222648746,3.33347758688399,4.51604310551988,-1.17123771979854
"Venezuela, RB",1984,8.725,59.58,16.773,16.3,17293.48,5.223,12.25,6.008,"Latin America & Caribbean",3.20033494221126,3.48525190928865,4.78053754737743,2.35525997235837
"Antigua and Barbuda",1985,-0.755,16.328,0.064,7.649,11136.58,7.644,0.996,-2.848,"Latin America & Caribbean",0.878542329584897,2.73196794885667,3.48696501165341,2.73131957597938
"Argentina",1985,-0.966,11.841,30.35,6.25,15143.02,-6.951,23.9,23.226,"Latin America & Caribbean",3.86746301985519,2.53206806370692,3.16649356469145,-2.63716723777768
"Bahamas, The",1985,-1.012,66.795,0.234,6.56,35827.91,4.1,4.624,0.657999999999999,"Latin America & Caribbean",2.23589983173701,2.57989721736081,4.89483143735381,2.11868503933338
"Barbados",1985,0.332,75.455,0.256,18.631,12939.15,1.1,4.858,0.21,"Latin America & Caribbean",2.28420269116202,3.61869348790241,5.01672753979165,0.950346929821134
"Belize",1985,3.344,21.762,0.166,9.167,3775.49,-1.419,4.153,0.77,"Latin America & Caribbean",2.13116770210088,2.9117190610221,3.77383998131654,-1.14897617169412
"Chile",1985,-8.139,69.854,12.102,14.975,7599.91,1.968,30.703,10.843,"Latin America & Caribbean",4.11777264778177,3.400642289012,4.93960576015932,1.42923236220108
"Colombia",1985,-3.285,50.419,29.921,8.742,7420.74,3.107,23.906,7.623,"Latin America & Caribbean",3.86771381499484,2.86454152590502,4.61361359905357,1.85175050413867
"Costa Rica",1985,-3.298,42.216,2.666,6.846,9023.83,0.722,15.129,3.116,"Latin America & Caribbean",3.41085107089563,2.62210370189553,4.4360867239549,0.670596525822962
"Dominica",1985,-4.644,83.04,0.073,26.9,5811.33,1.421,2.085,-0.0449999999999999,"Latin America & Caribbean",1.48101499328352,3.98561877823397,5.11250585279054,1.15012772899667
"Dominican Republic",1985,-1.656,31.55,6.353,17.325,6059.92,-2.123,45.336,25.184,"Latin America & Caribbean",4.50737021085477,3.54612958823675,4.14497182966559,-1.49732739907278
"Ecuador",1985,0.422,67.026,9.211,9.1,7519.39,4.4,27.983,-3.247,"Latin America & Caribbean",4.02506347581761,2.90442697297148,4.8982834282247,2.18742176068697
"El Salvador",1985,-1.237,5.398,5.042,7.6,4991.06,0.616,22.318,10.613,"Latin America & Caribbean",3.7990422450438,2.72559584926382,2.3876470785446,0.58249627758616
"Grenada",1985,-6.533,39.788,0.1,6.267,6488.53,5.988,2.501,-3.159,"Latin America & Caribbean",1.64760247302811,2.53475034686587,4.37687042196623,2.48980514286897
"Guatemala",1985,-2.249,180.851,8.18,13.59,5528.57,-0.6,19.176,15.968,"Latin America & Caribbean",3.64748585241694,3.30383230198016,5.89082831190343,-0.568824898732248
"Guyana",1985,-21.511,69.854,0.754,4.8,5527.36,0.366,15.031,-10.108,"Latin America & Caribbean",3.40436661630859,2.2724413273866,4.93960576015932,0.358285237721402
"Haiti",1985,-1.446,10.275,6.502,9.2,3745.71,0.757,10.649,4.247,"Latin America & Caribbean",3.06081047915052,2.91529134965747,3.02522054482647,0.698737774989554
"Honduras",1985,-3.45,43.8,4.283,6.818,3825.56,5.626,3.363,-1.363,"Latin America & Caribbean",1.92738650347246,2.61804854481251,4.47291128669066,2.42835234810042
"Jamaica",1985,-12.738,41.139,2.269,25.01,8306.22,-0.9,29.7,-1.555,"Latin America & Caribbean",4.0845775237478,3.91282236623759,4.41025144222922,-0.808866935652782
"Mexico",1985,2.186,80.117,76.375,4.4,16260.18,1.919,57.789,-7.64999999999999,"Latin America & Caribbean",4.75002047827366,2.18742176068697,5.07667419303935,1.40681305444482
"Panama",1985,1.245,114.362,2.225,14.418,12373.03,4.942,1.027,-0.556,"Latin America & Caribbean",0.900337185485223,3.3628250671405,5.43253515104329,2.30099970339774
"Paraguay",1985,-5.972,233.281,3.652,5.1,8053.64,3.872,24.845,3.907,"Latin America & Caribbean",3.90620846630233,2.33186371852127,6.14539550993069,2.06319120308095
